ORIGINAL IS,ORIGINAL IV,MASKED filename,MASKED IS,MASKED IV,IMPUTED filename,IMPUTED IS,IMPUTED IV
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.22-10.MASKED.csv,0.36,0.94,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.22-10.IMPUTED.csv,0.41,1.14
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-12.MASKED.csv,0.46,1.24,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-12.IMPUTED.csv,0.44,1.29
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-14.MASKED.csv,0.44,1.19,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-14.IMPUTED.csv,0.44,1.29
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-16.MASKED.csv,0.42,1.13,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-16.IMPUTED.csv,0.43,1.28
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-34.MASKED.csv,0.23,0.83,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-34.IMPUTED.csv,0.37,1.29
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.12-14.MASKED.csv,0.43,1.26,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.12-14.IMPUTED.csv,0.44,1.29
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.14-16.MASKED.csv,0.42,1.27,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.14-16.IMPUTED.csv,0.44,1.29
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.14-18.MASKED.csv,0.39,1.21,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.14-18.IMPUTED.csv,0.43,1.29
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.16-18.MASKED.csv,0.42,1.28,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.16-18.IMPUTED.csv,0.44,1.29
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.16-22.MASKED.csv,0.32,1.2,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.16-22.IMPUTED.csv,0.43,1.31
