ORIGINAL IS,ORIGINAL IV,MASKED filename,MASKED IS,MASKED IV,IMPUTED filename,IMPUTED IS,IMPUTED IV,Mask,Weekday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-16.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-16.IMPUTED.csv,0.17,0.98,10-16,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-34.MASKED.csv,0.13,1.0,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-34.IMPUTED.csv,0.11,0.82,10-34,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.12-14.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.12-14.IMPUTED.csv,0.18,1.01,12-14,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.14-16.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.14-16.IMPUTED.csv,0.18,1.0,14-16,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.14-18.MASKED.csv,0.18,1.0,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.14-18.IMPUTED.csv,0.18,0.99,14-18,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.16-18.MASKED.csv,0.18,1.0,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.16-18.IMPUTED.csv,0.18,1.0,16-18,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.16-22.MASKED.csv,0.17,1.0,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.16-22.IMPUTED.csv,0.16,1.0,16-22,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.18-20.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.18-20.IMPUTED.csv,0.18,1.0,18-20,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.18-22.MASKED.csv,0.17,1.0,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.18-22.IMPUTED.csv,0.17,0.98,18-22,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.22-10.MASKED.csv,0.14,1.02,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.22-10.IMPUTED.csv,0.13,0.94,22-10,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.10-12.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.10-12.IMPUTED.csv,0.18,1.0,10-12,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.10-14.MASKED.csv,0.17,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.10-14.IMPUTED.csv,0.18,1.0,10-14,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.10-16.MASKED.csv,0.17,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.10-16.IMPUTED.csv,0.18,0.99,10-16,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.10-34.MASKED.csv,0.16,0.99,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.10-34.IMPUTED.csv,0.15,0.95,10-34,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.12-14.MASKED.csv,0.17,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.12-14.IMPUTED.csv,0.18,1.01,12-14,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.14-16.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.14-16.IMPUTED.csv,0.18,1.0,14-16,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.14-18.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.14-18.IMPUTED.csv,0.18,1.0,14-18,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.16-18.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.16-18.IMPUTED.csv,0.18,1.0,16-18,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.16-22.MASKED.csv,0.17,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.16-22.IMPUTED.csv,0.16,1.0,16-22,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.18-20.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.18-20.IMPUTED.csv,0.18,1.01,18-20,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.18-22.MASKED.csv,0.17,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.18-22.IMPUTED.csv,0.17,1.01,18-22,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.22-10.MASKED.csv,0.17,0.99,nparactformat_1001703_90001_0_0.cwa.RData.Wednesday.22-10.IMPUTED.csv,0.17,0.98,22-10,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.10-12.MASKED.csv,0.21,1.32,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.10-12.IMPUTED.csv,0.2,1.33,10-12,Saturday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.10-14.MASKED.csv,0.21,1.29,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.10-14.IMPUTED.csv,0.2,1.33,10-14,Saturday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.10-16.MASKED.csv,0.22,1.24,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.10-16.IMPUTED.csv,0.2,1.32,10-16,Saturday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.10-34.MASKED.csv,0.14,0.95,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.10-34.IMPUTED.csv,0.18,1.21,10-34,Saturday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.12-14.MASKED.csv,0.2,1.32,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.12-14.IMPUTED.csv,0.19,1.33,12-14,Saturday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.14-16.MASKED.csv,0.2,1.3,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.14-16.IMPUTED.csv,0.19,1.33,14-16,Saturday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.14-18.MASKED.csv,0.21,1.26,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.14-18.IMPUTED.csv,0.18,1.33,14-18,Saturday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.16-18.MASKED.csv,0.2,1.3,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.16-18.IMPUTED.csv,0.2,1.32,16-18,Saturday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.16-22.MASKED.csv,0.21,1.25,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.16-22.IMPUTED.csv,0.2,1.31,16-22,Saturday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.18-20.MASKED.csv,0.2,1.31,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.18-20.IMPUTED.csv,0.2,1.32,18-20,Saturday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.18-22.MASKED.csv,0.2,1.28,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.18-22.IMPUTED.csv,0.2,1.29,18-22,Saturday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.22-10.MASKED.csv,0.12,1.08,nparactformat_1001778_90001_0_0.cwa.RData.Saturday.22-10.IMPUTED.csv,0.19,1.24,22-10,Saturday
